tradeoff_space,space_type,app_priority,main_interpretation
Sustainability vs Fiscal Flexibility,Structural Tension,Core,Green transition under fiscal pressure
Innovation vs Social Stability,Structural Alignment,Core,Innovation systems align with stability
Adaptive Transformation vs Fiscal Flexibility,Pathway / Transition,Core,Adaptive transition under fiscal constraints
Security vs Sustainability,Shock-Responsive,Secondary,Security-green strategic positioning
Human Capital vs Innovation,Structural Alignment,Secondary,Knowledge-development frontier
Security vs Social Stability,Shock-Responsive,Secondary,Security vs welfare-system pressure
Sustainability vs Innovation,Exploratory Alignment,Secondary,Green innovation frontier
Sustainability vs Adaptive Transformation,Pathway / Transition,Core,Adaptive green transition systems
Sustainability vs Human Capital,Weak / Exploratory,Low,Weak sustainability-HC linkage
Security vs Adaptive Transformation,Shock-Responsive,Core,Geopolitical adaptation systems
Security vs Fiscal Flexibility,Structural Tension,Core,Security cost structure
Security vs Innovation,Shock-Responsive,Secondary,Tech-security frontier
Human Capital vs Social Stability,Developmental Alignment,Secondary,Human-capital social resilience
Human Capital vs Fiscal Flexibility,Secondary Tension,Secondary,HC investment under fiscal strain
Innovation vs Fiscal Flexibility,Secondary Tension,Secondary,Innovation under fiscal constraints
